N,MAE,Treatment,Pearson,Spearman
10,2.278110345510336,None,0.07395981572205756,0.0698821110114042
20,1.6922520261544447,None,0.17726201637549435,0.22190752796718188
30,1.7402864171908452,None,0.17127209825810974,0.20337056659311173
40,1.837483182320228,None,0.17674579488034972,0.19702779908680337
50,1.8940549538685725,None,0.20597314683436269,0.22838429760390516
60,1.9421347122925978,None,0.22864067394401014,0.2584231085052598
70,2.0015382638344397,None,0.25218213981456816,0.2897349396455566
80,2.06311960036938,None,0.29357686126724764,0.3097012570773863
90,2.0816623641894414,None,0.3430038597728479,0.35671367116463654
100,2.1600931094242974,None,0.3680483028038376,0.39057154278281764
110,2.211097739293025,None,0.36727220995516313,0.39246990629702966
120,2.2841071312244123,None,0.3619698388550425,0.40111304370879497
130,2.3389678817528945,None,0.3456695474705316,0.40287740509259196
140,2.3067915668854346,None,0.34776289413798744,0.3940779318620093
150,2.2407739639282225,None,0.3554860197439143,0.41078353078707486
160,2.220888898922847,None,0.3610282418847983,0.4133742386417642
170,2.203498552395747,None,0.36767132181650547,0.3943682698112417
180,2.1840344465695893,None,0.36561945275015123,0.3980756620860557
190,2.1842375076734104,None,0.35661392323518293,0.3833354277404096
200,2.2091109660955577,None,0.3504414228882157,0.36424012415627705
210,2.2759237656226525,None,0.3359335778339668,0.32319080487249285
